network,type,clustering,closeness,n,initialization,consensus_time,opinion_change_frequency,groups
erdos_renyi_78.edgelist,erdos_renyi,0.4752524518136631,0.6559116001563574,1474.0,random,5.93,343.76,0
erdos_renyi_100.edgelist,erdos_renyi,0.4365461300112768,0.6396392699783201,1480.0,random,6.7,360.48,0
erdos_renyi_153.edgelist,erdos_renyi,0.3091205818451782,0.5914419153864697,1333.0,random,10.2,365.38,0
erdos_renyi_0.edgelist,erdos_renyi,0.6447048494822994,0.7378945805593626,1415.0,random,4.04,305.61,0
erdos_renyi_151.edgelist,erdos_renyi,0.5631759381045214,0.6960413040603495,1281.0,random,4.95,310.04,0
erdos_renyi_23.edgelist,erdos_renyi,0.3369551838343526,0.6013253966598349,1014.0,random,9.17,267.0,0
erdos_renyi_195.edgelist,erdos_renyi,0.0884556577596775,0.523168037450358,1465.0,random,38.32,381.13,0
erdos_renyi_68.edgelist,erdos_renyi,0.363480454078723,0.6111258997149236,1065.0,random,8.28,235.35,0
erdos_renyi_115.edgelist,erdos_renyi,0.2146590224850049,0.5601069157810519,1387.0,random,15.18,352.04,0
erdos_renyi_165.edgelist,erdos_renyi,0.1150868964694893,0.5305726185085905,1383.0,random,30.76,488.42,0
erdos_renyi_118.edgelist,erdos_renyi,0.1659621991762141,0.5452946894514195,1161.0,random,19.61,322.39,0
erdos_renyi_117.edgelist,erdos_renyi,0.990356099776866,0.9904569779224238,1111.0,random,1.46,256.02,0
erdos_renyi_141.edgelist,erdos_renyi,0.6984929775893474,0.7684026695126144,1384.0,random,3.5,362.36,0
erdos_renyi_92.edgelist,erdos_renyi,0.7554245094159785,0.803552496130832,1316.0,random,3.04,316.93,0
erdos_renyi_31.edgelist,erdos_renyi,0.7664506604876768,0.8107376665130384,1294.0,random,3.18,313.57,0
erdos_renyi_16.edgelist,erdos_renyi,0.1811614069052372,0.5497693655180367,1299.0,random,18.7,330.44,0
erdos_renyi_22.edgelist,erdos_renyi,0.8290498879896978,0.8540675183063563,1449.0,random,2.81,342.01,0
erdos_renyi_155.edgelist,erdos_renyi,0.0876570909715976,0.5229274720374772,1199.0,random,39.84,380.4,0
erdos_renyi_83.edgelist,erdos_renyi,0.247367906742587,0.5706460694161842,1036.0,random,12.25,275.96,0
erdos_renyi_53.edgelist,erdos_renyi,0.8668419143441601,0.8825586356467436,1165.0,random,2.59,238.31,0
erdos_renyi_131.edgelist,erdos_renyi,0.442581770690267,0.6421184543153784,1304.0,random,6.68,336.91,0
erdos_renyi_119.edgelist,erdos_renyi,0.2849333544880671,0.5830771831587895,1046.0,random,10.36,267.49,0
erdos_renyi_174.edgelist,erdos_renyi,0.413152026263626,0.6302062109087623,1285.0,random,7.09,318.08,0
erdos_renyi_125.edgelist,erdos_renyi,0.5867331701951174,0.7076757933718939,1132.0,random,4.46,267.85,0
