,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_linear_60.edgelist,0.0323928828778892,0.3332050136346299,1008.953,3.016906,0.0829851970669696,-0.012140048316372,0.0034415209760305,0.0050083004313815,3.641398344776397,28.57738033247041
barabasi_linear_91.edgelist,0.0327722345470029,0.3355657590423792,998.5850000000004,2.99617,0.081413917327617,-0.0266159244884947,0.0034269711578437,0.004955751961868,3.629732287465565,31.464265445104548
barabasi_linear_41.edgelist,0.0310680860643874,0.3350959379478803,1000.464,2.999928,0.0777023995565461,-0.0274837278286014,0.0034200849173817,0.0049137060236445,3.629633988713149,34.92849839314596
barabasi_linear_73.edgelist,0.0286933633734469,0.3354146975198351,998.4829999999998,2.995966,0.0902256889930031,-0.0359591367075119,0.0034082788733488,0.0048833491896469,3.6099231333141657,30.02082610455615
barabasi_linear_52.edgelist,0.0308094704303814,0.332542574028641,1011.472,3.021944,0.0950657557786761,-0.0238669049132747,0.0034374792917591,0.0050103990217193,3.642258687134642,24.535688292770597
barabasi_linear_78.edgelist,0.0329302022886273,0.3336147414997557,1007.299,3.013598,0.0756338291910568,-0.0202951277280009,0.0034235673481811,0.0049204484619999,3.6478808142822112,37.23797345005051
barabasi_linear_82.edgelist,0.0315010272074089,0.3342227083627471,1004.4450000000002,3.00789,0.0655276809179542,-0.024993713901322,0.0034252596126004,0.0050016901491413,3.635584164904927,37.52665719192159
barabasi_linear_1.edgelist,0.031815060654612,0.3335559365348096,1007.355,3.01371,0.0761762771152986,-0.0247765020394569,0.0034339469097982,0.005010588339211,3.6467552216944426,33.77375707064091
barabasi_linear_69.edgelist,0.0332302263271396,0.3335473719292453,1007.604,3.014208,0.09326577306354,-0.0157474647773596,0.0034304869373829,0.0049310974090679,3.628732016551182,28.0
barabasi_linear_49.edgelist,0.0328449420732694,0.3344282278292571,1003.43,3.00586,0.0664841918374209,-0.019938210012176,0.0034233658752556,0.0050446532957036,3.644097411889076,37.81534080237808
barabasi_linear_11.edgelist,0.0302401916210162,0.3333875650582089,1007.9219999999998,3.014844,0.0888698129371152,-0.0285399019706926,0.0034221730143021,0.0049995948542255,3.643100722891552,28.0
barabasi_linear_0.edgelist,0.030730344552348,0.3335875008411927,1007.144,3.013288,0.0820178792581628,-0.0178159242103572,0.0034372105718287,0.0049620107075634,3.657229700234807,34.351128074635334
barabasi_linear_7.edgelist,0.0324964178019204,0.3356413560122503,997.645,2.99429,0.0862436990544972,-0.0373813903646743,0.0034292270320252,0.0050061849841655,3.627942640011648,34.63981331743384
barabasi_linear_28.edgelist,0.0326710033099098,0.3364669798913407,994.0359999999998,2.987072,0.0669618048127175,-0.0471582769047715,0.0034124289855079,0.0049067813316687,3.6241098626304025,39.54743986657038
barabasi_linear_21.edgelist,0.0296030871003307,0.3338535604306994,1005.816,3.010632,0.0827379151357145,-0.0296127053387191,0.0034311848323662,0.0050180263444655,3.644395098934055,30.30951445778481
barabasi_linear_8.edgelist,0.0304138634466984,0.3376883634344688,988.716,2.976432,0.0911116758494189,-0.0397336508681546,0.003419348470598,0.0048904134837026,3.610025997143554,30.886890422961
barabasi_linear_17.edgelist,0.031051632746548,0.3346124290879051,1002.489,3.003978,0.071873723753907,-0.0215279733711428,0.0034339908066647,0.00494207037056,3.655740938594411,34.92849839314596
