,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality
barabasi_nonlinear_05_30.edgelist,0.027023703384880252,0.3145616632118947,1097.716,3.194432,0.09696581929484216,0.15936949068712994,0.003626788904376872,0.005150191529463431
barabasi_nonlinear_05_78.edgelist,0.026404624277456646,0.3142743105767826,1099.421,3.197842,0.09366283146774275,0.17385666989861226,0.003632917523993554,0.005369372328729134
barabasi_nonlinear_05_29.edgelist,0.02727651626248437,0.314527433613987,1097.8239999999998,3.194648,0.09887710621089084,0.1713122346642002,0.0036335415942902473,0.0052882037461104035
barabasi_nonlinear_05_34.edgelist,0.02744088990696142,0.3132551295380351,1104.1519999999998,3.207304,0.09396330189709022,0.19100594754231798,0.0036442011661667524,0.0051062364932771874
barabasi_nonlinear_05_99.edgelist,0.025593922221876265,0.31402574859295757,1100.373,3.199746,0.09940149458824275,0.18484698684628428,0.0036426525357931725,0.005172200666790116
barabasi_nonlinear_05_84.edgelist,0.02690247851538174,0.3135435825723214,1102.922,3.204844,0.10031538362945759,0.17819506900576318,0.0036477418629722713,0.005110911506932209
barabasi_nonlinear_05_80.edgelist,0.027565084226646247,0.31429459568406215,1099.1019999999999,3.197204,0.09704575045219123,0.1771855650420966,0.00363152482245338,0.005170914720547003
barabasi_nonlinear_05_71.edgelist,0.026044165209452037,0.3137622071689146,1101.928,3.202856,0.10450924195683686,0.1755645101635521,0.0036394129914595775,0.00510299723201512
barabasi_nonlinear_05_96.edgelist,0.026511018983198777,0.31385696943329217,1101.247,3.201494,0.09065746191500787,0.1773457846550675,0.003642858173899981,0.005237891951443994
barabasi_nonlinear_05_69.edgelist,0.0283370853733411,0.3133464531197176,1103.742,3.206484,0.10475194524384494,0.18015743517461857,0.003646175307178967,0.005118334016942933
barabasi_nonlinear_05_35.edgelist,0.027483817145328986,0.3140853391091164,1100.286,3.199572,0.09389494579567467,0.18893425640283537,0.0036360036992444467,0.0052445361020940435
barabasi_nonlinear_05_55.edgelist,0.02601156069364162,0.3139135318157596,1101.156,3.201312,0.0918253866653895,0.17420517538719613,0.0036512428901886206,0.0051467338600600585
barabasi_nonlinear_05_98.edgelist,0.02813402478029997,0.3138739951101775,1101.1929999999998,3.201386,0.09542338784345492,0.1706130788463773,0.003646377889871036,0.005319079769865803
barabasi_nonlinear_05_88.edgelist,0.029068507568956445,0.313903133836334,1101.237,3.201474,0.09757239432451975,0.18551914332928943,0.003630368933745123,0.005090220715516627
barabasi_nonlinear_05_13.edgelist,0.026673345438607474,0.3134882026339834,1103.204,3.205408,0.08384825591219527,0.19059469608656224,0.0036587690883600186,0.0052255051150090935
