,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
barabasi_nonlinear_15_88.edgelist,0.0258565846632555,0.4315767541290427,664.2350000000004,2.32747,0.071513384296805,-0.3624649635053079,0.0029526637720481,0.0037366684088431,2.6134490792324705,120.95453691366852
barabasi_nonlinear_15_80.edgelist,0.0249238171611868,0.441323568540069,639.5870000000001,2.278174,0.061471763245112,-0.320104781527862,0.0029761219352684,0.0036102307266266,2.6918803560794915,152.13152204589292
barabasi_nonlinear_15_78.edgelist,0.0253508758008115,0.4486465212066115,620.687,2.240374,0.0581594541257366,-0.3156094490583598,0.00296946568783,0.0037035151865671,2.6680953534424803,167.72000476985446
barabasi_nonlinear_15_19.edgelist,0.0219893572481751,0.4785560311262595,548.311,2.095622,0.0635873982691615,-0.3694989463309998,0.0029320482923309,0.003293725805196,2.5547680977304075,188.50464185266105
barabasi_nonlinear_15_85.edgelist,0.0230401368963041,0.452635460106687,611.487,2.221974,0.0536458797270527,-0.2772427041670283,0.0029982411795276,0.0038052508484795,2.7406909515831126,186.1952380343457
barabasi_nonlinear_15_67.edgelist,0.0249257976749938,0.4341947330998329,658.0680000000003,2.315136,0.0613922628006712,-0.3220461232894288,0.0029655705121121,0.0037605192195949,2.6508118075198235,147.2240356282447
barabasi_nonlinear_15_8.edgelist,0.0250234639839063,0.4457447541198159,626.4520000000001,2.251904,0.0750332192346463,-0.3940204994560885,0.0029368967298168,0.0036914736900158,2.56101564898605,129.90348981712026
barabasi_nonlinear_15_46.edgelist,0.0248950623361048,0.4472024623278444,624.9240000000001,2.248848,0.0529058367904697,-0.3031305913922305,0.0029691343267514,0.0038313529093181,2.6679605324872946,185.04053609952604
barabasi_nonlinear_15_29.edgelist,0.0256782439798667,0.4486062372057627,620.2689999999998,2.239538,0.0640859280743976,-0.3416083616710674,0.0029544081676011,0.0035364850035635,2.621794424365766,151.5541707333278
barabasi_nonlinear_15_17.edgelist,0.0247611914436948,0.4415688991790734,638.5850000000002,2.27617,0.0652395209552669,-0.3373340363536842,0.0029439825968373,0.0036130283639047,2.588431432322197,140.2958184218855
