,clustering,closeness,n
erdos_renyi_78.edgelist,0.4752524518136631,0.6559116001563574,1474.0
erdos_renyi_100.edgelist,0.4365461300112768,0.6396392699783201,1480.0
erdos_renyi_153.edgelist,0.30912058184517827,0.5914419153864697,1333.0
erdos_renyi_0.edgelist,0.6447048494822994,0.7378945805593626,1415.0
erdos_renyi_151.edgelist,0.5631759381045214,0.6960413040603495,1281.0
erdos_renyi_23.edgelist,0.33695518383435263,0.6013253966598349,1014.0
erdos_renyi_195.edgelist,0.08845565775967759,0.523168037450358,1465.0
erdos_renyi_68.edgelist,0.363480454078723,0.6111258997149236,1065.0
erdos_renyi_115.edgelist,0.21465902248500499,0.5601069157810519,1387.0
erdos_renyi_165.edgelist,0.11508689646948936,0.5305726185085905,1383.0
erdos_renyi_118.edgelist,0.16596219917621416,0.5452946894514195,1161.0
erdos_renyi_117.edgelist,0.9903560997768659,0.9904569779224238,1111.0
erdos_renyi_141.edgelist,0.6984929775893474,0.7684026695126144,1384.0
erdos_renyi_92.edgelist,0.7554245094159785,0.803552496130832,1316.0
erdos_renyi_31.edgelist,0.7664506604876768,0.8107376665130384,1294.0
erdos_renyi_16.edgelist,0.18116140690523722,0.5497693655180367,1299.0
erdos_renyi_22.edgelist,0.8290498879896978,0.8540675183063563,1449.0
erdos_renyi_155.edgelist,0.08765709097159766,0.5229274720374772,1199.0
erdos_renyi_83.edgelist,0.24736790674258702,0.5706460694161842,1036.0
erdos_renyi_53.edgelist,0.8668419143441601,0.8825586356467436,1165.0
erdos_renyi_131.edgelist,0.44258177069026705,0.6421184543153784,1304.0
erdos_renyi_119.edgelist,0.28493335448806717,0.5830771831587895,1046.0
erdos_renyi_110.edgelist,0.004440059200789344,,1383.0
erdos_renyi_174.edgelist,0.413152026263626,0.6302062109087623,1285.0
erdos_renyi_125.edgelist,0.5867331701951174,0.7076757933718939,1132.0
erdos_renyi_185.edgelist,0.2915187067421645,0.5853606940233634,1395.0
erdos_renyi_102.edgelist,0.972702315625072,0.9734512755339274,1104.0
erdos_renyi_94.edgelist,0.47366376192884235,0.6552241414840907,1106.0
erdos_renyi_24.edgelist,0.13692650407252588,0.5367680881356285,1345.0
erdos_renyi_84.edgelist,0.6043479077951592,0.7165997233522794,1289.0
erdos_renyi_187.edgelist,0.4911558826168895,0.6628124062043974,1209.0
erdos_renyi_136.edgelist,0.8364669781653957,0.8595279267474325,1039.0
erdos_renyi_168.edgelist,0.7706487545155623,0.813525780641678,1161.0
erdos_renyi_134.edgelist,0.6123526736336786,0.7207134600221445,1485.0
erdos_renyi_167.edgelist,0.8186522200569442,0.8465525999044178,1462.0
erdos_renyi_19.edgelist,0.8322693091226071,0.8564242160010261,1252.0
erdos_renyi_107.edgelist,0.33482450830893207,0.6005495690302186,1120.0
erdos_renyi_196.edgelist,0.30502737563358007,0.5899887371719058,1338.0
erdos_renyi_147.edgelist,0.855368174111128,0.8736991110830356,1391.0
erdos_renyi_52.edgelist,0.6579026087493653,0.7451858845165722,1278.0
erdos_renyi_139.edgelist,0.0647343521318582,0.5160418603504571,1402.0
erdos_renyi_193.edgelist,0.25824548231245353,0.5741078371325754,1300.0
erdos_renyi_72.edgelist,0.4894343055705036,0.6620740155689361,1126.0
erdos_renyi_36.edgelist,0.7352292189655786,0.7907225564452,1484.0
erdos_renyi_40.edgelist,0.6158188952814212,0.7225294214988954,1339.0
erdos_renyi_14.edgelist,0.40808930914317715,0.6282125699130019,1333.0
erdos_renyi_113.edgelist,0.5139514094363815,0.6729924747656655,1357.0
erdos_renyi_93.edgelist,0.545898474941141,0.6878308927036427,1023.0
erdos_renyi_126.edgelist,0.29846052971749476,0.587749501378717,1167.0
erdos_renyi_132.edgelist,0.7147447631710698,0.7781462532633044,1034.0
erdos_renyi_54.edgelist,0.37092653397146735,0.6139095174231941,1164.0
erdos_renyi_138.edgelist,0.34749264938367314,0.6051938380937134,1411.0
erdos_renyi_137.edgelist,0.26615234288442785,0.5768076591184317,1218.0
erdos_renyi_9.edgelist,0.611460212214045,0.7202313487874514,1028.0
erdos_renyi_179.edgelist,0.7466598250586902,0.797941729524102,1211.0
erdos_renyi_76.edgelist,0.7915416970262088,0.8275701450012596,1488.0
erdos_renyi_38.edgelist,0.8476410771288512,0.8678570708755439,1190.0
erdos_renyi_26.edgelist,0.524591384383081,0.677805517505937,1400.0
erdos_renyi_158.edgelist,0.3895102054850482,0.6209812856490067,1246.0
erdos_renyi_142.edgelist,0.3011705435843547,0.5886832972362823,1014.0
erdos_renyi_47.edgelist,0.08115342450187626,0.5210654311625182,1186.0
erdos_renyi_169.edgelist,0.2683223876985964,0.5775267975290381,1334.0
erdos_renyi_156.edgelist,0.7202602140000577,0.7814933901739723,1263.0
erdos_renyi_48.edgelist,0.03536230550731971,0.44889961071034695,1038.0
erdos_renyi_85.edgelist,0.04040194731160887,0.48677843315788694,1413.0
erdos_renyi_44.edgelist,0.24412848892326156,0.5695458402748286,1317.0
erdos_renyi_152.edgelist,0.24566447299817726,0.5699976670726751,1160.0
erdos_renyi_34.edgelist,0.6380884004087647,0.7343303986999723,1417.0
erdos_renyi_89.edgelist,0.5731726763023534,0.7009099649512694,1072.0
erdos_renyi_112.edgelist,0.930590509691581,0.9351417908866779,1174.0
erdos_renyi_63.edgelist,0.29484068946745456,0.586495098911312,1314.0
erdos_renyi_182.edgelist,0.9945285278372303,0.9945625710030827,1321.0
erdos_renyi_60.edgelist,0.10406092158177245,0.527432520855475,1228.0
erdos_renyi_57.edgelist,0.30085505354144365,0.5885410846425018,1443.0
erdos_renyi_8.edgelist,0.5414325365583744,0.6856772810402032,1269.0
erdos_renyi_32.edgelist,0.5600251482808417,0.6945187122945116,1493.0
erdos_renyi_97.edgelist,0.44585999600269216,0.6435027216811233,1412.0
erdos_renyi_6.edgelist,0.9539997664967466,0.9560514172253369,1326.0
erdos_renyi_13.edgelist,0.8507220664028105,0.8701748969305585,1484.0
erdos_renyi_106.edgelist,0.8743839081669758,0.8884680085219745,1163.0
erdos_renyi_121.edgelist,0.3653134507834617,0.6117541996784741,1116.0
erdos_renyi_28.edgelist,0.526192853742686,0.6785621991083327,1344.0
erdos_renyi_128.edgelist,0.5181769308911486,0.6749076678671505,1088.0
erdos_renyi_162.edgelist,0.8683423214255908,0.8837134752795901,1430.0
erdos_renyi_99.edgelist,0.22007753722611023,0.5618746291115219,1182.0
erdos_renyi_170.edgelist,0.954093404965915,0.956144633021453,1081.0
erdos_renyi_98.edgelist,0.15467904581547354,0.5419955024587726,1106.0
erdos_renyi_164.edgelist,0.04753812562414313,0.49710567263649846,1223.0
erdos_renyi_61.edgelist,0.8363110821327443,0.8594181129036683,1104.0
erdos_renyi_87.edgelist,0.0,,494.0
erdos_renyi_74.edgelist,0.9173533330247315,0.9237137821875838,1060.0
erdos_renyi_159.edgelist,0.03026678863861312,0.4364648062897035,1208.0
erdos_renyi_190.edgelist,0.47440788074421836,0.6555157427795667,1423.0
erdos_renyi_80.edgelist,0.13460740389420103,0.5360174571737528,1080.0
erdos_renyi_81.edgelist,0.8294598596962589,0.8543751421581754,1276.0
erdos_renyi_42.edgelist,0.5760749242027706,0.7023324929116197,1364.0
erdos_renyi_62.edgelist,0.7156346057776231,0.778656461617309,1356.0
erdos_renyi_95.edgelist,0.7046888225960907,0.772100546441674,1173.0
erdos_renyi_51.edgelist,0.7927129407836021,0.8283644184844777,1216.0
erdos_renyi_90.edgelist,0.36421726662998405,0.6113499909060401,1416.0
erdos_renyi_191.edgelist,0.4865981491147662,0.660840957563775,1124.0
erdos_renyi_199.edgelist,0.027778521871902707,0.4170759484777534,1046.0
erdos_renyi_111.edgelist,0.9582455457677115,0.959946216212485,1400.0
erdos_renyi_194.edgelist,0.7661843090237224,0.8105642935695477,1465.0
erdos_renyi_109.edgelist,0.05261443407834425,0.5021367562295596,1125.0
erdos_renyi_1.edgelist,0.6724060368994783,0.753333249737472,1114.0
erdos_renyi_181.edgelist,0.6424169248563973,0.7366727949596328,1378.0
erdos_renyi_149.edgelist,0.4820982603540295,0.6588783454000597,1013.0
erdos_renyi_166.edgelist,0.7239063105223768,0.7837159410230942,1353.0
erdos_renyi_55.edgelist,0.2992645907374281,0.5880380504863165,1257.0
erdos_renyi_172.edgelist,0.7037429613944385,0.7715360086084024,1134.0
erdos_renyi_17.edgelist,0.8571601896622453,0.8750807981631133,1241.0
erdos_renyi_192.edgelist,0.5622482311425617,0.6956116679935181,1028.0
erdos_renyi_103.edgelist,0.13332346510850263,0.5357666805411541,1295.0
erdos_renyi_20.edgelist,0.6393456058449646,0.7350180815974402,1318.0
erdos_renyi_10.edgelist,0.32456168742406805,0.5969015377002573,1377.0
erdos_renyi_27.edgelist,0.10508245437927362,0.527735590928465,1239.0
erdos_renyi_41.edgelist,0.47836406197939246,0.6572637744987029,1112.0
erdos_renyi_130.edgelist,0.495566720428738,0.664780849316293,1335.0
erdos_renyi_65.edgelist,0.8181919137413619,0.8462168994905753,1429.0
erdos_renyi_66.edgelist,0.06583747508266169,0.5146110133256898,1078.0
erdos_renyi_21.edgelist,0.3125774936469051,0.5926622129333495,1363.0
erdos_renyi_122.edgelist,0.11475239720375796,0.530471188533908,1155.0
erdos_renyi_150.edgelist,0.26975202889028155,0.577948701895518,1182.0
erdos_renyi_101.edgelist,0.8835420781998738,0.895755034248596,1186.0
erdos_renyi_120.edgelist,0.5620397552700945,0.6954783924364546,1422.0
erdos_renyi_4.edgelist,0.9634513223819726,0.9647618031610066,1480.0
erdos_renyi_82.edgelist,0.9418221289925788,0.9450679268943636,1043.0
erdos_renyi_133.edgelist,0.48554638553950114,0.6603697101279217,1163.0
erdos_renyi_175.edgelist,0.8368465261953069,0.8598038338361194,1235.0
erdos_renyi_59.edgelist,0.7864384965615251,0.8240878616289044,1369.0
erdos_renyi_77.edgelist,0.3337552557539148,0.6002045909328797,1432.0
erdos_renyi_108.edgelist,0.471853340869958,0.6544408134069276,1147.0
erdos_renyi_163.edgelist,0.8301457271491434,0.8548712355044618,1467.0
erdos_renyi_180.edgelist,0.31124972220936226,0.592207438154029,1465.0
erdos_renyi_183.edgelist,0.11809130911153465,0.5313371618308748,1071.0
erdos_renyi_3.edgelist,0.3594323846432091,0.6096013978484094,1422.0
erdos_renyi_104.edgelist,0.2843649508781194,0.5829089221087534,1408.0
erdos_renyi_129.edgelist,0.006074986193213197,,1331.0
erdos_renyi_29.edgelist,0.5829979688497193,0.705799155801922,1242.0
erdos_renyi_189.edgelist,0.5604595855731691,0.6947265299120364,1285.0
erdos_renyi_49.edgelist,0.5997372821086893,0.7142281232601444,1036.0
erdos_renyi_75.edgelist,0.7506950970654369,0.8005289562168884,1168.0
erdos_renyi_30.edgelist,0.7246312566507752,0.7841525794431101,1359.0
erdos_renyi_178.edgelist,0.8256535274750765,0.8516255108391401,1082.0
erdos_renyi_135.edgelist,0.24910819459685907,0.5711992426123219,1264.0
erdos_renyi_73.edgelist,0.9867083259471144,0.9868948220443278,1060.0
erdos_renyi_145.edgelist,0.019483215688779584,0.3819684658212468,1146.0
erdos_renyi_123.edgelist,0.42126273113183293,0.6335013638507868,1089.0
erdos_renyi_177.edgelist,0.339258526415743,0.602228888367301,1151.0
erdos_renyi_198.edgelist,0.3038346714573434,0.5896367051358443,1159.0
erdos_renyi_188.edgelist,0.859281364945982,0.8767211545577666,1089.0
erdos_renyi_18.edgelist,0.9766111640590979,0.9771595931931122,1459.0
erdos_renyi_12.edgelist,0.5447234638066085,0.6872305603913267,1070.0
erdos_renyi_70.edgelist,0.3019831063177896,0.588955862379048,1406.0
erdos_renyi_96.edgelist,0.6239095455550926,0.7267684765221324,1405.0
erdos_renyi_37.edgelist,0.3327259186466835,0.5998438049540148,1345.0
erdos_renyi_140.edgelist,0.7281092379467631,0.7862927337872142,1339.0
erdos_renyi_67.edgelist,0.9227952720485105,0.9283734170500363,1234.0
erdos_renyi_124.edgelist,0.38516646644742597,0.6193147361466852,1039.0
erdos_renyi_25.edgelist,0.14841508646512785,0.5400980338877811,1345.0
erdos_renyi_114.edgelist,0.3786513885860695,0.6167850651210547,1487.0
erdos_renyi_197.edgelist,0.3151821337610873,0.5935537754535611,1358.0
erdos_renyi_79.edgelist,0.2011366039225321,0.5559333010603927,1454.0
erdos_renyi_64.edgelist,0.7569814063605232,0.8045747233900216,1379.0
erdos_renyi_154.edgelist,0.12680316260525945,0.5338431027893946,1469.0
erdos_renyi_127.edgelist,0.03197946490562852,0.454657814154316,1391.0
erdos_renyi_173.edgelist,0.7248927171210234,0.7843355745699084,1180.0
erdos_renyi_91.edgelist,0.9353293098272822,0.9392947659608453,1335.0
erdos_renyi_157.edgelist,0.5192969193279715,0.675442372009692,1129.0
erdos_renyi_144.edgelist,0.39711956754762473,0.6239040557500152,1373.0
erdos_renyi_186.edgelist,0.8930398702291037,0.9034236198968612,1451.0
erdos_renyi_39.edgelist,0.6052681933609759,0.7170401199318391,1491.0
erdos_renyi_33.edgelist,0.6897725641328425,0.7632796138718687,1449.0
erdos_renyi_71.edgelist,0.7772149352642379,0.817874426725424,1198.0
erdos_renyi_2.edgelist,0.6532513649573982,0.7426340209478929,1073.0
erdos_renyi_176.edgelist,0.4259675450281068,0.6353535002152987,1412.0
erdos_renyi_146.edgelist,0.03305217760545632,0.46286975621820786,1476.0
erdos_renyi_11.edgelist,0.8919870820216546,0.9025644952348102,1299.0
erdos_renyi_161.edgelist,0.9540001090713203,0.9560588513261014,1075.0
erdos_renyi_171.edgelist,0.349781014220019,0.6059975933985475,1420.0
erdos_renyi_88.edgelist,0.25950163634547874,0.5746693796443386,1029.0
erdos_renyi_116.edgelist,0.16736614666215197,0.545700338766327,1196.0
erdos_renyi_86.edgelist,0.8096817089999828,0.840171928428206,1268.0
erdos_renyi_45.edgelist,0.7880570841849395,0.8252070196689277,1159.0
erdos_renyi_5.edgelist,0.47296372198157943,0.6549379674348351,1301.0
erdos_renyi_148.edgelist,0.18946357861620805,0.55230916829876,1077.0
erdos_renyi_15.edgelist,0.8259493712533776,0.8518348407887258,1288.0
erdos_renyi_43.edgelist,0.13295194541379327,0.5356175524997636,1053.0
erdos_renyi_105.edgelist,0.4032761131630013,0.6262937148513468,1149.0
erdos_renyi_143.edgelist,0.8030597491374596,0.8355350335054601,1483.0
erdos_renyi_56.edgelist,0.6832121355535926,0.7595184230569964,1146.0
erdos_renyi_46.edgelist,0.5065428546148508,0.6696617443513957,1184.0
erdos_renyi_58.edgelist,0.7489525363412339,0.799403971425444,1311.0
erdos_renyi_184.edgelist,0.29971699199419555,0.58816006743295,1167.0
erdos_renyi_50.edgelist,0.9254097177713094,0.9306267077569665,1397.0
erdos_renyi_69.edgelist,0.94626733132185,0.949051512339165,1071.0
erdos_renyi_7.edgelist,0.08360848867291935,0.5216464450903636,1330.0
erdos_renyi_160.edgelist,0.9404087184005101,0.9438008172797042,1209.0
erdos_renyi_35.edgelist,0.6375852991203628,0.7340698489205069,1398.0
