,clustering,closeness,betweenness,average_shortest_path_lenght,eigenvector,assortativity,information_centrality,approximate_current_flow_betweenness_centrality,shannon_entropy,degree_variance
watts-strogatz_4.edgelist,0.6481518481518481,0.1110912680139993,4085.388,9.169776,0.332668948553698,0.0102889642740747,0.0014796752958647,0.0209305294282163,0.5202198930497433,3.452052529534663
watts-strogatz_34.edgelist,0.643156750038838,0.1219339779858778,3638.88,8.27676,0.4732182247350319,0.0021901422434855,0.0016498838202343,0.0213283809756393,0.601127040870273,3.741657386773941
watts-strogatz_9.edgelist,0.6409835337978784,0.1227389057055678,3634.547000000001,8.268094,0.3939508662247191,-0.0077765123495616,0.0016580523894632,0.0220980112481578,0.6541110395086169,3.452052529534663
watts-strogatz_68.edgelist,0.6512645158425294,0.0961221589657646,4774.262,10.547524,0.5017374554857287,-0.0061499563732697,0.001340200692767,0.0264353462218782,0.4546766127065658,3.452052529534663
watts-strogatz_62.edgelist,0.6464150943396226,0.1102296407882242,4108.533,9.216066,0.4294019802261887,-0.002985074626823,0.0014588354602706,0.0221907797328664,0.5634181200063779,3.741657386773941
watts-strogatz_82.edgelist,0.6497790999711387,0.1061022657915792,4319.471,9.637942,0.458348514381718,-0.0102425941716339,0.0014190432974684,0.0245154940978206,0.5024364731732198,3.452052529534663
watts-strogatz_31.edgelist,0.6476190476190476,0.116932970284409,3836.772,8.672544,0.4398302317053547,0.0145715264198143,0.0014971975984357,0.0224533757358945,0.5202198930497434,3.741657386773941
watts-strogatz_97.edgelist,0.6474427277570591,0.1098425889407951,4104.935,9.20887,0.532634637962666,-0.0153660095828772,0.0014975290418347,0.0223627257720738,0.5381754139984432,3.741657386773941
watts-strogatz_43.edgelist,0.644241226999312,0.1165415754435715,3830.139,8.659278,0.5174510065648444,-0.0235929728559247,0.0016017984167368,0.021881225377388,0.5885277449274368,3.741657386773941
watts-strogatz_63.edgelist,0.644583527531793,0.1178600623845699,3791.274,8.581548,0.4195196328941656,-0.0153542148383531,0.0016166218078023,0.0203151946062516,0.6007767006929784,3.741657386773941
watts-strogatz_88.edgelist,0.6469008080987478,0.1155500549505808,3880.828,8.760656,0.3127908676896994,0.0104217501164943,0.0015325665591596,0.022711694546423,0.51136570916872,3.741657386773941
watts-strogatz_21.edgelist,0.6462388742148136,0.1159937040201735,3880.455,8.75991,0.4605556288534962,0.0161207187400555,0.0015376670628083,0.0216679970012133,0.5666636171969954,3.741657386773941
watts-strogatz_37.edgelist,0.6435705091215767,0.1189940889780028,3762.1659999999993,8.523332,0.4973409725492943,0.0179189876862458,0.0015923249215596,0.0226165887018601,0.6172636940764392,3.741657386773941
watts-strogatz_96.edgelist,0.6454541418804937,0.1179272949883989,3798.85,8.5967,0.4919300396060447,0.0066979153434345,0.0015976908776592,0.0219515386106221,0.5668797656150389,3.741657386773941
watts-strogatz_51.edgelist,0.6364826194014952,0.1331768906498873,3304.078,7.607156,0.3917295113658547,0.0022209774987808,0.0017969557512676,0.0190373363327758,0.7599727074894828,3.741657386773941
watts-strogatz_95.edgelist,0.6467480577136515,0.1116801235367276,4044.908,9.088816,0.4033513479657188,0.0230230230230748,0.001519434367345,0.0216497310283883,0.5689955935892812,3.452052529534663
