,random,random,direct,direct,inverse,inverse
,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency
barabasi_linear_49.edgelist,430.16,257.98,536.86,199.99,329.97,402.38
barabasi_linear_45.edgelist,443.8,254.81,515.19,200.0,332.04,410.08
barabasi_linear_8.edgelist,438.93,260.9,520.9,200.0,324.24,361.54
barabasi_linear_96.edgelist,455.52,259.78,482.62,199.99,337.54,406.16
barabasi_linear_31.edgelist,439.98,247.26,459.97,200.0,325.67,402.88
barabasi_linear_66.edgelist,450.8,249.88,476.44,200.0,339.75,376.76
barabasi_linear_23.edgelist,441.53,234.51,490.47,200.0,352.06,366.26
barabasi_linear_80.edgelist,444.43,239.66,462.35,200.0,331.64,424.8
barabasi_linear_58.edgelist,455.73,248.78,489.98,199.98,329.38,357.42
barabasi_linear_62.edgelist,458.72,242.53,517.39,200.0,328.93,379.04
barabasi_linear_28.edgelist,420.31,252.96,417.2,200.0,345.2,440.02
barabasi_linear_65.edgelist,440.4,240.78,475.66,200.0,334.81,412.04
barabasi_linear_9.edgelist,446.1,257.5,505.16,200.0,320.68,387.54
barabasi_linear_63.edgelist,447.99,252.68,493.61,200.0,316.59,387.52
barabasi_linear_61.edgelist,441.33,241.17,514.92,200.0,341.07,419.8
barabasi_linear_47.edgelist,427.5,233.89,499.07,199.99,343.76,421.92
barabasi_linear_69.edgelist,469.86,246.9,467.72,200.0,329.97,387.37
barabasi_linear_52.edgelist,452.33,263.65,490.63,199.99,339.09,406.06
barabasi_linear_59.edgelist,428.36,248.96,467.4,200.0,346.54,430.09
barabasi_linear_7.edgelist,434.01,247.12,484.31,200.0,305.29,352.08
barabasi_linear_50.edgelist,440.26,265.67,520.94,200.0,326.18,435.18
barabasi_linear_21.edgelist,434.78,246.5,516.28,199.99,327.24,381.24
barabasi_linear_78.edgelist,456.33,245.37,440.42,200.0,330.64,429.06
barabasi_linear_3.edgelist,447.57,243.42,498.76,199.99,322.28,393.32
barabasi_linear_74.edgelist,477.22,252.75,516.17,199.99,354.03,427.56
barabasi_linear_48.edgelist,454.45,244.39,482.78,200.0,360.92,464.89
barabasi_linear_76.edgelist,440.15,254.67,448.35,200.0,355.75,399.94
barabasi_linear_1.edgelist,467.74,254.81,515.69,200.0,325.89,368.38
barabasi_linear_71.edgelist,442.0,245.76,475.64,200.0,331.63,381.44
barabasi_linear_11.edgelist,443.34,249.69,488.15,200.0,365.9,475.5
barabasi_linear_6.edgelist,443.46,239.38,558.8,199.97,310.12,359.34
barabasi_linear_36.edgelist,417.1,236.46,523.17,200.0,310.06,337.94
barabasi_linear_97.edgelist,418.86,262.32,479.21,200.0,333.28,362.04
barabasi_linear_39.edgelist,427.84,252.71,514.17,199.98,342.03,388.98
barabasi_linear_88.edgelist,431.56,263.67,524.97,199.98,322.35,393.52
barabasi_linear_18.edgelist,471.9,244.08,533.01,199.98,339.2,383.16
barabasi_linear_51.edgelist,462.36,251.32,485.42,200.0,347.76,413.36
barabasi_linear_20.edgelist,439.46,240.55,466.55,200.0,314.54,403.68
barabasi_linear_33.edgelist,436.41,242.6,447.28,200.0,338.88,449.07
barabasi_linear_68.edgelist,434.8,252.51,481.42,200.0,335.29,430.34
barabasi_linear_92.edgelist,421.08,240.33,438.05,200.0,325.13,385.78
barabasi_linear_73.edgelist,434.61,241.47,453.63,199.98,324.03,397.34
barabasi_linear_16.edgelist,432.77,243.43,462.63,200.0,335.03,407.24
barabasi_linear_87.edgelist,445.12,261.82,476.13,200.0,325.96,386.65
barabasi_linear_19.edgelist,446.68,241.75,483.09,200.0,332.47,396.94
barabasi_linear_83.edgelist,454.82,241.03,512.01,200.0,312.23,384.78
barabasi_linear_85.edgelist,435.81,268.36,479.99,200.0,327.8,405.8
barabasi_linear_17.edgelist,443.12,255.55,540.23,199.99,355.81,428.18
barabasi_linear_32.edgelist,443.12,243.23,495.11,199.99,323.8,414.14
barabasi_linear_70.edgelist,456.08,250.79,518.43,200.0,348.54,431.76
barabasi_linear_55.edgelist,456.07,239.08,492.1,200.0,315.24,405.92
barabasi_linear_53.edgelist,422.15,248.62,488.32,200.0,339.08,422.99
barabasi_linear_10.edgelist,443.22,249.81,523.95,200.0,363.37,422.21
barabasi_linear_60.edgelist,459.34,258.74,530.55,199.99,336.12,371.4
barabasi_linear_95.edgelist,445.32,249.57,486.49,200.0,320.09,354.08
barabasi_linear_67.edgelist,431.13,240.68,547.05,199.99,332.59,412.58
barabasi_linear_91.edgelist,441.98,241.65,529.25,199.99,322.19,393.34
barabasi_linear_37.edgelist,431.36,273.76,513.61,199.99,308.89,380.26
barabasi_linear_84.edgelist,425.62,240.43,470.65,200.0,321.06,348.14
barabasi_linear_42.edgelist,425.98,232.03,476.78,199.99,339.4,424.38
barabasi_linear_0.edgelist,469.41,259.91,541.16,200.0,318.53,403.26
barabasi_linear_4.edgelist,451.52,263.08,512.49,200.0,330.88,418.26
barabasi_linear_44.edgelist,438.16,246.89,492.0,199.99,338.41,415.67
barabasi_linear_64.edgelist,452.36,258.64,499.46,200.0,350.47,424.95
barabasi_linear_46.edgelist,438.3,246.64,548.31,199.97,354.17,409.55
barabasi_linear_56.edgelist,444.97,242.63,565.62,199.99,357.48,447.98
barabasi_linear_81.edgelist,446.66,256.93,532.65,199.99,335.19,387.04
barabasi_linear_77.edgelist,462.63,236.6,483.59,200.0,340.19,403.59
barabasi_linear_15.edgelist,426.35,238.81,509.77,199.99,306.85,384.78
barabasi_linear_22.edgelist,445.98,247.74,457.38,200.0,333.48,397.32
barabasi_linear_79.edgelist,442.46,236.54,505.32,199.99,338.21,421.41
barabasi_linear_99.edgelist,434.49,232.17,464.27,200.0,316.21,404.22
barabasi_linear_41.edgelist,476.17,250.64,500.64,200.0,336.69,407.49
