,random,random,direct,direct,inverse,inverse
,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency
barabasi_nonlinear_05_30.edgelist,497.52,256.67,617.08,200.0,399.81,393.5
barabasi_nonlinear_05_78.edgelist,519.58,257.08,637.17,200.0,404.14,429.24
barabasi_nonlinear_05_29.edgelist,532.62,267.18,600.98,200.26,391.14,372.7
barabasi_nonlinear_05_34.edgelist,502.84,258.14,614.58,201.8,443.68,422.06
barabasi_nonlinear_05_99.edgelist,513.28,276.46,607.92,202.28,385.8,389.98
barabasi_nonlinear_05_84.edgelist,523.45,253.29,641.38,201.38,401.51,411.86
barabasi_nonlinear_05_80.edgelist,512.16,273.0,612.69,200.76,396.3,420.52
barabasi_nonlinear_05_71.edgelist,508.07,263.19,637.85,200.0,402.88,415.86
barabasi_nonlinear_05_96.edgelist,532.22,253.72,642.18,200.0,394.84,394.12
barabasi_nonlinear_05_69.edgelist,544.55,268.55,606.72,200.0,394.11,417.72
barabasi_nonlinear_05_35.edgelist,515.2,261.46,611.2,200.54,396.38,383.2
barabasi_nonlinear_05_55.edgelist,504.04,255.03,614.54,203.44,387.01,391.74
barabasi_nonlinear_05_98.edgelist,521.32,254.41,618.26,200.0,398.82,400.02
barabasi_nonlinear_05_88.edgelist,512.5,255.88,619.51,200.0,417.92,399.42
barabasi_nonlinear_05_13.edgelist,523.87,273.91,598.29,200.0,403.68,394.6
barabasi_nonlinear_05_27.edgelist,513.27,253.68,603.0,200.0,371.47,376.56
barabasi_nonlinear_05_16.edgelist,523.5,247.53,635.42,200.0,353.17,332.92
barabasi_nonlinear_05_1.edgelist,518.1,258.94,619.61,202.36,408.87,413.12
barabasi_nonlinear_05_51.edgelist,530.28,252.87,629.23,201.6,412.47,377.14
barabasi_nonlinear_05_81.edgelist,502.01,257.38,621.67,202.24,404.14,431.26
barabasi_nonlinear_05_9.edgelist,497.34,248.36,607.92,200.9,402.35,401.1
barabasi_nonlinear_05_18.edgelist,524.6,253.03,603.43,200.0,393.34,397.7
barabasi_nonlinear_05_56.edgelist,511.35,254.04,628.56,202.24,393.66,398.62
barabasi_nonlinear_05_26.edgelist,541.83,270.03,628.84,204.36,443.13,448.76
