,random,random
,consensus_time,opinion_change_frequency
barabasi_nonlinear_15_88.edgelist,113.27,235.99
barabasi_nonlinear_15_80.edgelist,109.2,252.95
barabasi_nonlinear_15_78.edgelist,131.31,237.66
barabasi_nonlinear_15_19.edgelist,59.89,225.07
barabasi_nonlinear_15_85.edgelist,102.43,210.99
barabasi_nonlinear_15_67.edgelist,99.26,245.3
barabasi_nonlinear_15_8.edgelist,73.09,263.47
barabasi_nonlinear_15_46.edgelist,93.22,251.06
barabasi_nonlinear_15_29.edgelist,78.46,225.56
barabasi_nonlinear_15_17.edgelist,92.66,240.88
barabasi_nonlinear_15_5.edgelist,91.45,227.91
barabasi_nonlinear_15_52.edgelist,74.9,221.63
barabasi_nonlinear_15_94.edgelist,123.84,224.97
barabasi_nonlinear_15_58.edgelist,103.98,244.06
barabasi_nonlinear_15_70.edgelist,62.99,223.91
barabasi_nonlinear_15_0.edgelist,80.63,231.88
barabasi_nonlinear_15_1.edgelist,77.09,237.17
barabasi_nonlinear_15_56.edgelist,114.32,221.12
barabasi_nonlinear_15_87.edgelist,92.79,246.45
barabasi_nonlinear_15_2.edgelist,89.93,242.16
barabasi_nonlinear_15_32.edgelist,84.92,205.96
barabasi_nonlinear_15_92.edgelist,53.22,240.52
barabasi_nonlinear_15_77.edgelist,81.04,230.03
barabasi_nonlinear_15_51.edgelist,98.52,245.41
barabasi_nonlinear_15_47.edgelist,103.95,239.9
barabasi_nonlinear_15_93.edgelist,85.54,226.65
barabasi_nonlinear_15_36.edgelist,82.84,234.05
barabasi_nonlinear_15_65.edgelist,119.51,235.56
barabasi_nonlinear_15_81.edgelist,123.54,237.77
barabasi_nonlinear_15_54.edgelist,81.55,243.09
barabasi_nonlinear_15_21.edgelist,101.26,249.48
barabasi_nonlinear_15_95.edgelist,93.5,214.93
barabasi_nonlinear_15_83.edgelist,101.19,238.5
barabasi_nonlinear_15_96.edgelist,101.76,249.42
barabasi_nonlinear_15_62.edgelist,67.07,241.07
barabasi_nonlinear_15_50.edgelist,87.64,206.15
barabasi_nonlinear_15_63.edgelist,106.24,224.55
barabasi_nonlinear_15_66.edgelist,62.8,281.28
barabasi_nonlinear_15_82.edgelist,102.95,227.29
barabasi_nonlinear_15_3.edgelist,125.26,241.59
barabasi_nonlinear_15_7.edgelist,105.98,215.24
barabasi_nonlinear_15_45.edgelist,100.57,230.14
barabasi_nonlinear_15_25.edgelist,96.51,276.0
barabasi_nonlinear_15_42.edgelist,72.74,243.89
barabasi_nonlinear_15_64.edgelist,95.1,221.86
barabasi_nonlinear_15_61.edgelist,118.97,231.94
barabasi_nonlinear_15_39.edgelist,103.19,234.89
barabasi_nonlinear_15_98.edgelist,88.71,229.7
barabasi_nonlinear_15_75.edgelist,64.72,250.78
barabasi_nonlinear_15_72.edgelist,87.77,215.24
barabasi_nonlinear_15_20.edgelist,84.25,242.02
barabasi_nonlinear_15_28.edgelist,63.94,244.51
barabasi_nonlinear_15_24.edgelist,102.12,229.22
barabasi_nonlinear_15_26.edgelist,73.55,240.12
barabasi_nonlinear_15_6.edgelist,83.26,223.38
barabasi_nonlinear_15_35.edgelist,101.18,244.63
barabasi_nonlinear_15_11.edgelist,122.32,220.64
barabasi_nonlinear_15_10.edgelist,75.38,232.24
barabasi_nonlinear_15_90.edgelist,70.49,225.0
barabasi_nonlinear_15_71.edgelist,85.78,220.01
barabasi_nonlinear_15_41.edgelist,108.32,243.76
barabasi_nonlinear_15_23.edgelist,83.14,240.0
barabasi_nonlinear_15_59.edgelist,96.2,230.09
barabasi_nonlinear_15_43.edgelist,122.64,250.82
barabasi_nonlinear_15_12.edgelist,79.43,226.6
barabasi_nonlinear_15_13.edgelist,93.9,229.79
barabasi_nonlinear_15_79.edgelist,114.69,255.51
barabasi_nonlinear_15_37.edgelist,108.89,224.52
barabasi_nonlinear_15_27.edgelist,107.49,240.26
barabasi_nonlinear_15_91.edgelist,77.09,225.48
barabasi_nonlinear_15_33.edgelist,117.78,233.34
barabasi_nonlinear_15_74.edgelist,94.36,216.8
barabasi_nonlinear_15_57.edgelist,74.89,230.15
barabasi_nonlinear_15_48.edgelist,92.34,224.8
barabasi_nonlinear_15_68.edgelist,99.11,220.98
barabasi_nonlinear_15_73.edgelist,112.22,242.25
barabasi_nonlinear_15_99.edgelist,98.29,240.85
barabasi_nonlinear_15_9.edgelist,78.25,247.85
barabasi_nonlinear_15_15.edgelist,76.27,237.26
barabasi_nonlinear_15_18.edgelist,109.02,249.85
barabasi_nonlinear_15_76.edgelist,49.77,220.81
barabasi_nonlinear_15_34.edgelist,94.32,259.31
barabasi_nonlinear_15_4.edgelist,103.0,226.1
barabasi_nonlinear_15_69.edgelist,87.47,281.13
barabasi_nonlinear_15_40.edgelist,63.35,259.56
