network,consensus_time,opinion_change_frequency
erdos_renyi_0_p0.3208.edgelist,7.41,26.12
erdos_renyi_1_p0.0246.edgelist,150.0,263.67
erdos_renyi_2_p0.4443.edgelist,4.84,26.34
erdos_renyi_3_p0.3475.edgelist,11.43,3167.76
erdos_renyi_4_p0.3830.edgelist,5.02,24.22
erdos_renyi_5_p0.6838.edgelist,3.5,263.81
erdos_renyi_6_p0.0177.edgelist,251.42,2484.17
erdos_renyi_7_p0.1986.edgelist,20.57,2613.57
erdos_renyi_8_p0.3048.edgelist,13.12,2677.92
erdos_renyi_9_p0.0326.edgelist,203.89,32.7
erdos_renyi_10_p0.4857.edgelist,7.71,2450.75
erdos_renyi_11_p0.3177.edgelist,12.14,2526.96
erdos_renyi_12_p0.4865.edgelist,5.86,217.96
erdos_renyi_13_p0.8633.edgelist,2.4,253.09
erdos_renyi_14_p0.1774.edgelist,24.22,2700.78
erdos_renyi_15_p0.7062.edgelist,4.11,2482.93
erdos_renyi_16_p0.3904.edgelist,5.18,23.53
erdos_renyi_17_p0.0342.edgelist,39085.28,34.19
erdos_renyi_18_p0.8159.edgelist,2.05,23.39
erdos_renyi_19_p0.0664.edgelist,46.66,30.49
erdos_renyi_20_p0.4525.edgelist,8.23,2183.88
erdos_renyi_21_p0.9212.edgelist,1.49,26.17
erdos_renyi_22_p0.3893.edgelist,5.2,25.77
erdos_renyi_23_p0.8201.edgelist,1.97,22.7
erdos_renyi_24_p0.4553.edgelist,5.76,235.33
erdos_renyi_25_p0.6823.edgelist,2.75,22.67
erdos_renyi_26_p0.8810.edgelist,3.03,2301.08
erdos_renyi_27_p0.2920.edgelist,13.87,2612.37
erdos_renyi_28_p0.6284.edgelist,4.08,216.43
erdos_renyi_29_p0.5411.edgelist,6.57,2293.38
erdos_renyi_30_p0.8681.edgelist,3.01,2544.33
erdos_renyi_31_p0.7312.edgelist,3.2,230.7
erdos_renyi_32_p0.5540.edgelist,3.32,22.22
erdos_renyi_33_p0.7285.edgelist,2.47,26.68
erdos_renyi_34_p0.1123.edgelist,30.24,290.86
erdos_renyi_35_p0.5232.edgelist,5.24,243.46
erdos_renyi_36_p0.2713.edgelist,7.65,26.59
erdos_renyi_37_p0.5594.edgelist,4.92,231.65
erdos_renyi_38_p0.0138.edgelist,65387.01,65.13
erdos_renyi_39_p0.2543.edgelist,8.83,27.51
erdos_renyi_40_p0.7759.edgelist,2.84,231.44
erdos_renyi_41_p0.8532.edgelist,1.9,25.11
erdos_renyi_42_p0.1786.edgelist,22.96,2592.96
erdos_renyi_43_p0.6671.edgelist,2.51,23.66
erdos_renyi_44_p0.1013.edgelist,27.36,29.32
erdos_renyi_45_p0.5334.edgelist,6.67,2633.9
erdos_renyi_46_p0.7228.edgelist,2.46,22.17
erdos_renyi_47_p0.8379.edgelist,3.18,2299.22
erdos_renyi_48_p0.4532.edgelist,7.91,2242.5
erdos_renyi_49_p0.3031.edgelist,6.59,23.8
erdos_renyi_50_p0.9840.edgelist,1.73,2360.73
erdos_renyi_51_p0.0152.edgelist,301.83,262.17
erdos_renyi_52_p0.0836.edgelist,42.63,287.38
erdos_renyi_53_p0.3821.edgelist,5.52,24.47
erdos_renyi_54_p0.6423.edgelist,5.02,2237.37
erdos_renyi_55_p0.8968.edgelist,2.71,2353.58
erdos_renyi_56_p0.3851.edgelist,5.13,26.83
erdos_renyi_57_p0.3310.edgelist,6.88,26.19
erdos_renyi_58_p0.4405.edgelist,4.53,21.68
erdos_renyi_59_p0.0226.edgelist,169.2,277.64
erdos_renyi_60_p0.0827.edgelist,52.93,3026.33
erdos_renyi_61_p0.6101.edgelist,4.01,241.49
erdos_renyi_62_p0.0606.edgelist,58.35,286.11
erdos_renyi_63_p0.4145.edgelist,6.74,255.73
erdos_renyi_64_p0.5597.edgelist,4.78,242.13
erdos_renyi_65_p0.5290.edgelist,6.51,2300.56
erdos_renyi_66_p0.6129.edgelist,5.39,2545.84
erdos_renyi_67_p0.5486.edgelist,5.12,260.92
erdos_renyi_68_p0.2895.edgelist,13.51,2445.9
erdos_renyi_69_p0.3230.edgelist,9.03,263.46
erdos_renyi_70_p0.2790.edgelist,14.46,2495.02
erdos_renyi_71_p0.5221.edgelist,4.91,211.23
erdos_renyi_72_p0.7633.edgelist,2.35,23.02
erdos_renyi_73_p0.7336.edgelist,4.11,2238.66
erdos_renyi_74_p0.7430.edgelist,3.18,229.6
erdos_renyi_75_p0.4560.edgelist,4.29,23.2
erdos_renyi_76_p0.2412.edgelist,17.08,2421.66
erdos_renyi_77_p0.9916.edgelist,1.53,23.29
erdos_renyi_78_p0.6559.edgelist,3.85,235.24
erdos_renyi_79_p0.8378.edgelist,3.22,2301.34
erdos_renyi_80_p0.9365.edgelist,2.46,2366.07
erdos_renyi_81_p0.4552.edgelist,4.36,23.33
erdos_renyi_82_p0.4597.edgelist,4.33,26.4
erdos_renyi_83_p0.9042.edgelist,2.26,243.09
erdos_renyi_84_p0.0555.edgelist,78.71,2705.39
erdos_renyi_85_p0.1391.edgelist,19.1,26.84
erdos_renyi_86_p0.9822.edgelist,2.11,2475.86
erdos_renyi_87_p0.7451.edgelist,2.36,22.07
erdos_renyi_88_p0.1288.edgelist,25.28,280.26
erdos_renyi_89_p0.7941.edgelist,2.01,23.53
erdos_renyi_90_p0.4212.edgelist,8.82,2230.16
erdos_renyi_91_p0.2200.edgelist,14.07,251.49
