,random,random,direct,direct,inverse,inverse
,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency
watts-strogatz_4.edgelist,12870.83,1933.74,45548.18,8091.56,46201.42,8893.82
watts-strogatz_34.edgelist,13433.72,2101.28,37232.78,7178.81,44990.41,8031.57
watts-strogatz_9.edgelist,12830.62,1923.37,28452.11,5404.21,36998.16,6842.32
watts-strogatz_68.edgelist,23908.14,3490.9,62963.76,9081.69,61128.91,10178.94
watts-strogatz_62.edgelist,12689.83,1898.38,53274.05,8207.16,49882.49,8321.53
watts-strogatz_82.edgelist,13726.83,2023.12,53496.79,8239.12,41368.01,6743.67
watts-strogatz_31.edgelist,20792.99,2981.19,45278.53,8312.46,48873.64,8420.45
watts-strogatz_97.edgelist,15599.81,2216.95,51336.09,8565.57,52837.97,8540.76
watts-strogatz_43.edgelist,15266.76,2200.84,42705.2,8099.1,41716.53,6577.07
watts-strogatz_63.edgelist,11534.38,1678.06,39224.71,8555.31,35903.11,6389.46
watts-strogatz_88.edgelist,14244.6,1905.57,43929.99,7825.99,48113.86,8700.52
watts-strogatz_21.edgelist,16999.51,2515.43,43847.04,7391.41,51208.46,7665.28
watts-strogatz_37.edgelist,15203.55,2023.82,51504.49,7518.17,38381.44,6678.89
watts-strogatz_96.edgelist,12437.51,1719.16,41817.75,7134.4,30880.87,5338.05
watts-strogatz_51.edgelist,10657.14,1566.71,23199.63,4397.14,21254.36,4322.46
watts-strogatz_95.edgelist,14899.09,2189.56,42992.92,8683.52,50494.19,8487.68
watts-strogatz_46.edgelist,11152.74,1690.75,26816.54,5352.42,38054.76,5656.46
watts-strogatz_49.edgelist,14382.39,2233.09,41510.35,7465.2,46512.57,7972.09
watts-strogatz_58.edgelist,16230.06,2382.28,44793.75,8162.92,44339.05,7780.09
watts-strogatz_59.edgelist,17152.89,2382.99,47194.32,9015.86,44171.97,8039.58
watts-strogatz_30.edgelist,15180.99,2191.81,46836.06,8515.69,40683.53,6636.59
watts-strogatz_25.edgelist,15281.77,2390.94,52501.29,9489.6,43844.55,7421.22
watts-strogatz_8.edgelist,17664.16,2375.2,47636.03,8608.78,54558.97,9547.18
watts-strogatz_60.edgelist,14181.71,2168.63,39096.18,6889.51,37744.9,6495.5
watts-strogatz_0.edgelist,17529.49,2171.86,42919.23,7374.97,47867.13,7372.12
watts-strogatz_11.edgelist,15485.09,2016.49,38207.16,7169.14,43148.5,7171.07
watts-strogatz_64.edgelist,16104.67,2346.86,41454.98,6987.07,43333.4,7012.63
watts-strogatz_41.edgelist,15409.19,2139.96,39934.12,7235.38,51538.77,8509.5
watts-strogatz_32.edgelist,22911.84,4015.96,46795.44,8203.27,49364.91,8105.7
watts-strogatz_36.edgelist,10710.23,1690.97,34303.21,7037.9,37937.42,5755.04
watts-strogatz_13.edgelist,15947.1,2339.29,53355.31,7362.69,35438.2,6696.49
watts-strogatz_29.edgelist,19446.13,3342.28,38838.84,6753.0,40695.94,7005.84
watts-strogatz_18.edgelist,12404.93,1899.49,36160.34,6354.83,32220.97,6020.91
watts-strogatz_61.edgelist,17460.81,2338.53,54712.65,7810.38,44384.11,7458.84
watts-strogatz_91.edgelist,13776.8,2109.59,36341.94,5881.04,42891.71,7319.47
watts-strogatz_26.edgelist,17918.3,2568.16,48412.0,9268.97,49334.52,8700.22
watts-strogatz_28.edgelist,14292.41,2199.68,39540.61,8105.72,47405.65,8481.74
watts-strogatz_6.edgelist,14583.17,2306.35,40705.62,6720.27,34178.84,6146.74
watts-strogatz_89.edgelist,14868.43,2469.88,39018.19,6866.19,38199.91,6759.79
watts-strogatz_92.edgelist,18767.28,2247.6,72565.19,9317.43,57052.75,8713.27
watts-strogatz_80.edgelist,11519.8,1756.99,25853.85,5584.74,29400.15,5353.49
watts-strogatz_2.edgelist,13837.54,1935.06,47016.78,8187.04,48121.96,7803.37
watts-strogatz_22.edgelist,16923.11,2552.69,49034.5,9523.09,46277.38,7590.75
watts-strogatz_85.edgelist,13967.24,2058.48,39585.02,6918.48,40906.01,6470.26
watts-strogatz_19.edgelist,18008.29,2474.83,55033.02,9312.49,44512.85,8393.84
watts-strogatz_81.edgelist,15683.03,2146.36,56104.29,9210.93,45242.52,7898.33
watts-strogatz_33.edgelist,13515.51,1979.67,47563.17,7244.07,34080.51,6565.69
watts-strogatz_3.edgelist,14096.69,2183.04,31160.8,6455.59,38860.34,6459.79
watts-strogatz_39.edgelist,14188.77,1857.15,35662.54,6774.96,53236.67,8243.89
watts-strogatz_20.edgelist,12202.07,1816.15,44022.59,7686.81,38980.95,6362.13
watts-strogatz_73.edgelist,10180.64,1627.13,27814.39,5140.75,34492.95,5532.37
watts-strogatz_87.edgelist,15347.6,2048.06,42895.35,6995.31,47617.67,7841.24
watts-strogatz_65.edgelist,14972.03,2191.11,47187.48,9030.8,48469.91,8594.53
watts-strogatz_27.edgelist,13544.69,1913.24,46806.54,8648.46,37237.56,6977.83
watts-strogatz_86.edgelist,11623.23,1788.24,36677.7,5612.19,33512.92,5875.72
watts-strogatz_38.edgelist,19120.59,2771.91,48401.73,9184.13,57698.55,8812.98
watts-strogatz_16.edgelist,14560.84,2013.86,36238.71,6435.71,37890.79,6268.57
watts-strogatz_24.edgelist,16289.01,2399.26,38928.83,7207.43,33947.86,6149.78
watts-strogatz_35.edgelist,16966.89,2709.01,39784.19,7369.21,36973.61,6448.47
watts-strogatz_66.edgelist,16270.79,2265.13,49386.53,8756.71,42011.87,7356.13
watts-strogatz_15.edgelist,14439.27,2118.05,45857.52,7645.61,41189.37,7078.97
watts-strogatz_94.edgelist,13669.09,2080.27,38114.53,6647.4,36537.98,6348.87
watts-strogatz_57.edgelist,14133.55,2187.6,36238.16,6830.96,37125.66,6497.9
watts-strogatz_77.edgelist,22185.5,3032.85,50125.59,8522.96,58481.21,9428.49
watts-strogatz_55.edgelist,15164.81,2288.16,37354.92,6275.66,35836.62,6629.63
watts-strogatz_99.edgelist,12859.87,1937.2,36076.84,6408.61,28235.58,5860.19
watts-strogatz_72.edgelist,14455.16,2378.04,50027.14,7667.11,37292.21,6415.91
watts-strogatz_79.edgelist,15343.78,2353.28,39139.55,6780.22,54512.66,9845.66
watts-strogatz_93.edgelist,13397.4,1976.62,31838.06,5468.05,36894.16,6513.74
watts-strogatz_10.edgelist,15914.62,2070.21,43555.83,7885.33,47128.31,8109.49
watts-strogatz_75.edgelist,16875.6,2425.08,50513.77,7009.13,45741.69,8003.8
watts-strogatz_5.edgelist,12815.07,2151.45,37151.1,6844.78,31599.4,5989.59
watts-strogatz_70.edgelist,13483.04,1971.65,35822.69,6056.82,35717.97,6940.07
