,random,random,direct,direct,inverse,inverse
,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency,consensus_time,opinion_change_frequency
waxman_15.edgelist,739.28,268.58,932.78,244.84,446.4,386.96
waxman_66.edgelist,742.16,257.64,959.77,250.08,439.88,375.76
waxman_54.edgelist,687.93,263.23,972.15,256.29,410.73,334.63
waxman_21.edgelist,687.65,275.45,951.89,257.17,363.85,338.2
waxman_1.edgelist,753.2,269.2,980.01,264.64,388.32,350.84
waxman_47.edgelist,748.87,275.35,954.67,257.41,408.33,349.39
waxman_23.edgelist,679.79,275.82,928.11,253.43,439.21,368.63
waxman_56.edgelist,711.66,268.72,937.17,250.38,437.45,357.64
waxman_24.edgelist,767.82,263.14,987.1,265.23,424.76,336.64
waxman_57.edgelist,714.85,269.25,968.19,244.9,379.45,335.28
waxman_95.edgelist,726.37,283.77,966.83,256.24,408.68,347.62
waxman_38.edgelist,717.71,266.5,935.34,238.55,414.17,347.48
waxman_55.edgelist,675.03,268.2,912.95,257.93,412.15,381.48
waxman_69.edgelist,636.4,272.6,923.05,253.27,408.53,353.2
waxman_82.edgelist,713.42,281.7,943.59,241.33,415.94,352.8
waxman_13.edgelist,777.51,271.56,987.26,268.67,415.87,382.99
waxman_45.edgelist,706.37,267.45,932.24,258.84,416.55,356.51
waxman_3.edgelist,807.76,272.17,985.12,246.49,428.89,365.92
waxman_42.edgelist,694.14,267.44,934.78,250.63,377.58,358.77
waxman_94.edgelist,752.97,260.47,982.8,247.61,449.87,344.23
waxman_8.edgelist,742.09,258.81,958.06,251.95,442.05,353.46
waxman_18.edgelist,703.4,268.49,980.56,250.0,433.98,359.55
waxman_29.edgelist,712.54,276.54,975.3,251.88,387.35,341.19
waxman_67.edgelist,741.33,269.18,968.22,258.82,431.11,355.52
waxman_30.edgelist,766.53,266.28,984.29,260.65,412.34,376.88
waxman_52.edgelist,774.49,259.37,986.46,251.13,425.85,361.25
waxman_97.edgelist,654.69,263.67,893.9,253.64,396.99,353.64
waxman_62.edgelist,757.81,268.51,989.76,261.24,400.32,356.55
waxman_0.edgelist,712.38,273.83,930.55,240.38,400.84,348.6
